Name,Role,Type,Units,Description,Missing Values
ritm_ecg_p_06,feature,binary,,ECG rhythm at the time of admission to hospital: idioventricular,Yes
ritm_ecg_p_07,feature,binary,,ECG rhythm at the time of admission to hospital: sinus with a heart rate above 90 (tachycardia),Yes
ritm_ecg_p_08,feature,binary,,ECG rhythm at the time of admission to hospital: sinus with a heart rate below 60 (bradycardia),Yes
n_r_ecg_p_01,feature,binary,,Premature atrial contractions on ECG at the time of admission to hospital,Yes
n_r_ecg_p_02,feature,binary,,Frequent premature atrial contractions on ECG at the time of admission to hospital,Yes
n_r_ecg_p_03,feature,binary,,Premature ventricular contractions on ECG at the time of admission to hospital,Yes
n_r_ecg_p_04,feature,binary,,Frequent premature ventricular contractions on ECG at the time of admission to hospital,Yes
n_r_ecg_p_05,feature,binary,,Paroxysms of atrial fibrillation on ECG at the time of admission to hospital,Yes
n_r_ecg_p_06,feature,binary,,Persistent form of atrial fibrillation on ECG at the time of admission to hospital,Yes
n_r_ecg_p_08,feature,binary,,Paroxysms of supraventricular tachycardia on ECG at the time of admission to hospital,Yes
n_r_ecg_p_09,feature,binary,,Paroxysms of ventricular tachycardia on ECG at the time of admission to hospital,Yes
n_r_ecg_p_10,feature,binary,,Ventricular fibrillation on ECG at the time of admission to hospital,Yes
n_p_ecg_p_01,feature,binary,,Sinoatrial block on ECG at the time of admission to hospital,Yes
n_p_ecg_p_03,feature,binary,,First-degree AV block on ECG at the time of admission to hospital,Yes
n_p_ecg_p_04,feature,binary,,Type 1 Second-degree AV block (Mobitz I/Wenckebach) on ECG at the time of admission to hospital,Yes
n_p_ecg_p_05,feature,binary,,Type 2 Second-degree AV block (Mobitz II/Hay) on ECG at the time of admission to hospital,Yes
n_p_ecg_p_06,feature,binary,,Third-degree AV block on ECG at the time of admission to hospital,Yes
n_p_ecg_p_07,feature,binary,,LBBB (anterior branch) on ECG at the time of admission to hospital,Yes
n_p_ecg_p_08,feature,binary,,LBBB (posterior branch) on ECG at the time of admission to hospital,Yes
n_p_ecg_p_09,feature,binary,,Incomplete LBBB on ECG at the time of admission to hospital,Yes
n_p_ecg_p_10,feature,binary,,Complete LBBB on ECG at the time of admission to hospital,Yes
n_p_ecg_p_11,feature,binary,,Incomplete RBBB on ECG at the time of admission to hospital,Yes
n_p_ecg_p_12,feature,binary,,Complete RBBB on ECG at the time of admission to hospital,Yes
fibr_ter_01,feature,binary,,Fibrinolytic therapy by Сеliasum 750k,Yes
fibr_ter_02,feature,binary,,Fibrinolytic therapy by Сеliasum 1m IU,Yes
fibr_ter_03,feature,binary,,Fibrinolytic therapy by Сеliasum 3m IU,Yes
fibr_ter_05,feature,binary,,Fibrinolytic therapy by Streptase,Yes
fibr_ter_06,feature,binary,,Fibrinolytic therapy by Сеliasum 500k,Yes
fibr_ter_07,feature,binary,,Fibrinolytic therapy by Сеliasum 250k,Yes
fibr_ter_08,feature,binary,,Fibrinolytic therapy by Сеliasum 1.5m IU,Yes
GIPO_K,feature,binary,,Hypokalemia ( < 4 mmol/L),Yes
K_BLOOD,feature,continuous,mmol/L,Serum potassium content,Yes
GIPER_NA,feature,binary,,Increase of sodium in serum (more than 150 mmol/L),Yes
NA_BLOOD,feature,continuous,mmol/L,Serum sodium content,Yes
ALT_BLOOD,feature,continuous,IU/L,Serum AlAT content (ALT_BLOOD),Yes
AST_BLOOD,feature,continuous,IU/L,Serum AsAT content,Yes
KFK_BLOOD,feature,continuous,IU/L,Serum CPK content,Yes
L_BLOOD,feature,continuous,billions per liter,White blood cell count,Yes
ROE,feature,continuous,мм,ESR (Erythrocyte sedimentation rate),Yes
TIME_B_S,feature,categorical,,Time elapsed from the beginning of the attack of CHD to the hospital 1: less than 2 hours 2: 2-4 hours 3: 4-6 hours 4: 6-8 hours 5: 8-12 hours 6: 12-24 hours 7: more than 1 days 8: more than 2 days 9: more than 3 days,Yes
R_AB_1_n,feature,categorical,,Relapse of the pain in the first hours of the hospital period 0: there is no relapse 1: only one 2: 2 times 3: 3 or more times,Yes
R_AB_2_n,feature,categorical,,Relapse of the pain in the second day of the hospital period 0: there is no relapse 1: only one 2: 2 times 3: 3 or more times,Yes
R_AB_3_n,feature,categorical,,Relapse of the pain in the third day of the hospital period 0: there is no relapse 1: only one 2: 2 times 3: 3 or more times,Yes
NA_KB,feature,binary,,Use of opioid drugs by the Emergency Cardiology Team,Yes
NOT_NA_KB,feature,binary,,Use of NSAIDs by the Emergency Cardiology Team,Yes
LID_KB,feature,binary,,Use of lidocaine by the Emergency Cardiology Team,Yes
NITR_S,feature,binary,,Use of liquid nitrates in the ICU,Yes
NA_R_1_n,feature,integer,,Use of opioid drugs in the ICU in the first hours of the hospital period,Yes
NA_R_2_n,feature,integer,,Use of opioid drugs in the ICU in the second day of the hospital period,Yes
NA_R_3_n,feature,integer,,Use of opioid drugs in the ICU in the third day of the hospital period,Yes
NOT_NA_1_n,feature,categorical,,Use of NSAIDs in the ICU in the first hours of the hospital period 0: no 1: once 2: twice 3: three times 4: four or more times,Yes
NOT_NA_2_n,feature,integer,,Use of NSAIDs in the ICU in the second day of the hospital period,Yes
NOT_NA_3_n,feature,integer,,Use of NSAIDs in the ICU in the third day of the hospital period,Yes
LID_S_n,feature,binary,,Use of lidocaine in the ICU,Yes
B_BLOK_S_n,feature,binary,,Use of beta-blockers in the ICU,Yes
ANT_CA_S_n,feature,binary,,Use of calcium channel blockers in the ICU,Yes
GEPAR_S_n,feature,binary,,Use of а anticoagulants (heparin) in the ICU,Yes
ASP_S_n,feature,binary,,Use of acetylsalicylic acid in the ICU,Yes
TIKL_S_n,feature,binary,,Use of Ticlid in the ICU,Yes
TRENT_S_n,feature,binary,,Use of Trental in the ICU,Yes
FIBR_PREDS,target,binary,,Atrial fibrillation,No
PREDS_TAH,target,binary,,Supraventricular tachycardia,No
JELUD_TAH,target,binary,,Ventricular tachycardia,No
FIBR_JELUD,target,binary,,Ventricular fibrillation,No
A_V_BLOK,target,binary,,Third-degree AV block,No
OTEK_LANC,target,binary,,Pulmonary edema,No
RAZRIV,target,binary,,Myocardial rupture,No
DRESSLER,target,binary,,Dressler syndrome,No
ZSN,target,binary,,Chronic heart failure,No
REC_IM,target,binary,,Relapse of the myocardial infarction,No
P_IM_STEN,target,binary,,Post-infarction angina,No
LET_IS,target,categorical,,Lethal outcome (cause) 0: unknown (alive) 1: cardiogenic shock 2: pulmonary edema 3: myocardial rupture 4: progress of congestive heart failure 5: thromboembolism 6: asystole 7: ventricular fibrillation,No
